event_slug,event_name,promoter,event_date,arm,weight_class,athlete_a,athlete_b,score_a,score_b,status,video_id,bout
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Over 115 kg,Leonidas Arkona,Brian Shaw,3,2,completed,uyqzfkRxnTQ,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Over 115 kg,Devon Larratt,Vitalii Laletin,4,1,completed,Z2H4K5bojA4,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 85 kg,Bob Brown,Isaiah Jones,3,0,completed,JQ89iCq4sRI,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 77 kg,Courtney Huycke,Nastasia Pastorkova,3,1,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 95 kg,Ryan Belanger,Jason Merlo,3,0,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 115 kg,Jeremy Parker,Auden Larratt,3,1,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 105 kg,Irakli Zirakashvili,Yoshinobu Kanai,3,0,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 95 kg,Adam Wawrzynski,Peter Čeleš,3,1,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 77 kg,Tom Holland,Justin Bishop,3,1,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 85 kg,Janis Amolins,Craig Tullier,3,0,completed,vVmH2rRGyiQ,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,left,Open category,Corey West,Pavlo Derbedyenyev,3,0,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,left,Open category,Jerry Cadorette,Kody Merritt,3,1,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,left,Open category,Tobias Sporrong,Alex Kurdecha,3,0,completed,,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Open category,Riekerd Bornman,Alizhan Muratov,3,0,completed,qOin6KD0ZxU,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 95 kg,Bogdan Stoica,Todd Hutchings,4,1,completed,LHC5z3LyN9E,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Open category,Artyom Morozov,Ermes Gasparini,4,1,completed,DL0fEGGKyew,
east-vs-west-24,East vs West 24,East vs West,2026-06-06,right,Up to 105 kg,Michael Todd,Oleg Petrenko,4,0,completed,Q7O62eQTYPM,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 85 kg,Vladislavs Krasovskis,Artem Popov,3,0,completed,0mmm0qQa0SA,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 85 kg,Tim Tallmadge,Vala Ichkiti,3,0,completed,vkhBHWm_-wQ,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 95 kg,Zurab Tavberidze,Ryan Belanger,3,0,completed,ghzzAtPXKXw,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Open category,Gabriela Vasconcelos,Irina Driaeva,3,0,completed,GBqB-TZd5jM,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 95 kg,Adam Wawrzynski,Nurdaulet Aidarkhan,3,2,completed,QkaX_DJmYYs,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 95 kg,Eldar Bubenko,Paul Linn,3,0,completed,Q_QzX8tP-2U,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,left,Up to 77 kg,Daniel Procopciuc,Vachagan Hovhannisyan,4,0,completed,aaIgcr0wHaU,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 105 kg,Krasimir Kostadinov,Nugzari Chikadze,3,0,completed,m-8JvmVGtLU,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 115 kg,Ibragim Sagov,Yordan Tsonev,3,0,completed,cqm0phYqaWU,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,left,Up to 85 kg,Oleh Zhokh,Luka Tsinadze,4,0,completed,WyfC4Slcn7Y,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Over 115 kg,Kamil Jablonski,Georgi Tsvetkov,4,2,completed,Xl7Mg7WwOL0,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,left,Over 115 kg,Vitalii Laletin,Alizhan Muratov,4,0,completed,6Ppas0vsMZ8,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Up to 77 kg,Zhuo Xiaohai,Aleksandre Koshadze,0,2,completed,RKGWzlYKq0o,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,right,Over 115 kg,Daniyar Roman,Grigorii Liashchuk,2,1,completed,7vNJITTCB0s,
east-vs-west-25,East vs West 25,East vs West,2026-08-01,left,Up to 95 kg,Oleksandr Telyatnik,Omer Dror,2,0,completed,GtR7HXtACZQ,
